2025-11-06T08:12:49.715Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T08:54:08.465Z | ::ffff:127.0.0.1 | GET | / | 200
2025-11-06T08:54:08.471Z | ::ffff:127.0.0.1 | GET | /stylesheets/style.css | 304
2025-11-06T08:54:08.709Z | ::ffff:127.0.0.1 | GET | /favicon.ico | 404
2025-11-06T08:55:28.150Z | ::ffff:127.0.0.1 | GET | / | 200
2025-11-06T08:55:28.165Z | ::ffff:127.0.0.1 | GET | /stylesheets/style.css | 304
2025-11-06T08:55:50.887Z | ::ffff:127.0.0.1 | GET | / | 200
2025-11-06T08:55:50.896Z | ::ffff:127.0.0.1 | GET | /stylesheets/style.css | 304
2025-11-06T08:56:51.123Z | ::ffff:127.0.0.1 | GET | / | 500
2025-11-06T08:56:51.133Z | ::ffff:127.0.0.1 | GET | /stylesheets/style.css | 200
2025-11-06T08:57:08.747Z | ::ffff:127.0.0.1 | GET | / | 500
2025-11-06T08:57:08.756Z | ::ffff:127.0.0.1 | GET | /stylesheets/style.css | 304
2025-11-06T09:00:27.679Z | ::ffff:127.0.0.1 | GET | / | 200
2025-11-06T09:00:27.686Z | ::ffff:127.0.0.1 | GET | /stylesheets/style.css | 304
2025-11-06T09:00:38.515Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:38.515Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:39.889Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:39.889Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:40.766Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:40.766Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:40.937Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:40.937Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:41.115Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:41.114Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:41.766Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:41.766Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:44.021Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:00:44.021Z | ::ffff:127.0.0.1 | POST | /auth/logout | 204
2025-11-06T09:01:07.727Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:09.473Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:09.697Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:14.983Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:15.491Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:15.676Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:15.891Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:16.109Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:01:31.220Z | ::ffff:127.0.0.1 | GET | /login | 403
2025-11-06T09:01:40.345Z | ::ffff:127.0.0.1 | GET | /register | 403
2025-11-06T09:01:45.413Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:01:45.413Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:02:04.573Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:02:04.573Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:02:05.240Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:02:05.240Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:02:05.416Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:02:05.416Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:36.156Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:36.157Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:36.825Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:36.825Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:36.973Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:36.973Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:37.132Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:37.132Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:37.289Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:37.290Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:37.423Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:37.423Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:04:39.443Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:09:44.860Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:09:45.286Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:09:45.468Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:09:59.832Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:09:59.832Z | ::ffff:127.0.0.1 | GET | /auth/login | 403
2025-11-06T09:10:50.484Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:12:27.262Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:12:40.253Z | ::ffff:127.0.0.1 | GET | / | 403
2025-11-06T09:14:31.320Z | ::ffff:127.0.0.1 | GET | / | 302
2025-11-06T09:14:31.323Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.323Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.326Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.326Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.328Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.328Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.330Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.330Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.331Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.331Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.333Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.333Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.334Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.334Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.336Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.336Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.338Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.338Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.339Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.339Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.340Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.341Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.342Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.342Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
2025-11-06T09:14:31.343Z | ::ffff:127.0.0.1 | GET | /auth/login | 302
